,name,link,image
0,Світлодіодне освітлення,https://videx.ua/catalog/svitlodiodne-osvitlennya,https://videx.ua/files/categories_resized/cat_1.svg
1,Лампи,https://videx.ua/catalog/lamps,https://videx.ua/files/categories_resized/lampi.40x42.png
2,Вуличні ліхтарі,https://videx.ua/catalog/street-lights,https://videx.ua/files/categories_resized/vul-fonar.40x42.png
3,Лінійні світильники,https://videx.ua/catalog/stanley,https://videx.ua/files/categories_resized/linejnye.40x42.png
4,Сонячні світильники,https://videx.ua/catalog/solar-lamps,https://videx.ua/files/categories_resized/sonyachn-svtilniki.40x42.png
5,Прожектори,https://videx.ua/catalog/floodlights,https://videx.ua/files/categories_resized/prozhektori.40x42.png
6,Настінно-стельові світильники,https://videx.ua/catalog/nastenno-potolochnye-svetilniki,https://videx.ua/files/categories_resized/nastenno-potolochnye.40x42.png
7,Висотні світильники,https://videx.ua/catalog/high-lights,https://videx.ua/files/categories_resized/visotn-svtil.40x42.png
8,Електротовари та аксесуари,https://videx.ua/catalog/aksesuari,https://videx.ua/files/categories_resized/furnitura-01-01.40x42.png
9,Панелі,https://videx.ua/catalog/paneli,https://videx.ua/files/categories_resized/paneli.40x42.png
10,Світильники Downlight,https://videx.ua/catalog/svitilniki-downlight,https://videx.ua/files/categories_resized/daun2.40x42.png
11,Настільні лампи,https://videx.ua/catalog/nastilni-lampi-i-torsheri,https://videx.ua/files/categories_resized/nastolnye-lampy.40x42.png
12,Трекові світильники,https://videx.ua/catalog/track-lights,https://videx.ua/files/categories_resized/trek.40x42.png
13,Високопотужні лампи,https://videx.ua/catalog/visokopotuzhni-lampi,https://videx.ua/files/categories_resized/visokopotuzhn.40x42.png
14,Зовнішні світильники,https://videx.ua/catalog/naruzhnye-svetilniki,https://videx.ua/files/categories_resized/zhitlovo-komunaln.40x42.png
15,Торшери,https://videx.ua/catalog/torsheri,https://videx.ua/files/categories_resized/icon_torsher_1.40x42.png
16,Архітектурні світильники,https://videx.ua/catalog/arhitekturni-svitilniki,https://videx.ua/files/categories_resized/icon_architec.40x42.png
17,Точкові світильники,https://videx.ua/catalog/tochkovij-svitilnik,https://videx.ua/files/categories_resized/spoty.40x42.png
18,Фітолампи,https://videx.ua/catalog/fitolampa,https://videx.ua/files/categories_resized/fito-2.40x42.png
19,Датчики руху,https://videx.ua/catalog/datchiki-ruhu,https://videx.ua/files/categories_resized/datchik-dvizheniya.40x42.png
20,Аварійні світильники,https://videx.ua/catalog/avarijni-svitilniki,https://videx.ua/files/categories_resized/icon_emergency.40x42.png
21,Електрофурнітура,https://videx.ua/catalog/elektrofurnitura,https://videx.ua/files/categories_resized/cat_2.svg
22,Вбудована,https://videx.ua/catalog/vbudovana,https://videx.ua/files/categories_resized/vbudovana.40x42.png
23,Накладна,https://videx.ua/catalog/nakladna,https://videx.ua/files/categories_resized/nakladna.40x42.png
24,Пило-волого захищена,https://videx.ua/catalog/pilo-vologo-zahischena,https://videx.ua/files/categories_resized/pile-vologo-zahischena.40x42.png
25,Декоративні рамки,https://videx.ua/catalog/dekorativni-ramki,https://videx.ua/files/categories_resized/dekorativni-ramky.40x42.png
26,Автоматичні вимикачі,https://videx.ua/catalog/avtomatichni-vimikachi,https://videx.ua/files/categories_resized/icon_avtomat.40x42.png
27,Колодки та подовжувачі,https://videx.ua/catalog/power-strips,https://videx.ua/files/categories_resized/podovzhuvach.40x42.png
28,Вилки та розетки,https://videx.ua/catalog/plugs-and-sockets,https://videx.ua/files/categories_resized/vilki.40x42.png
29,Елементи живлення,https://videx.ua/catalog/elementi-zhivlennya,https://videx.ua/files/categories_resized/cat_3.svg
30,Батарейки,https://videx.ua/catalog/batarejki,https://videx.ua/files/categories_resized/battery_icon.svg
